省份,水质类别,实测经度,实测纬度,监测时间,pH,海区
北京,一类,116.4074,39.9042,2023-01-15,7.5,渤海
上海,二类,121.4737,31.2304,2023-01-20,7.2,东海
广东,三类,113.2644,23.1291,2023-02-10,7.0,南海
山东,一类,117.0009,36.6758,2023-02-15,7.8,黄海
四川,劣四类,104.0668,30.5728,2023-03-01,6.5,内陆
北京,二类,116.5000,39.9500,2023-02-15,7.4,渤海
上海,一类,121.5000,31.2500,2023-03-20,7.3,东海
广东,二类,113.3000,23.1500,2023-03-10,7.1,南海
山东,劣四类,117.0500,36.7000,2023-03-15,6.8,黄海
四川,三类,104.1000,30.6000,2023-04-01,6.9,内陆
福建,一类,119.3062,26.0753,2023-04-05,7.6,南海
福建,二类,119.3062,26.0753,2023-01-05,7.6,南海
辽宁,三类,123.3836,41.8057,2023-04-10,7.2,黄海
辽宁,四类,123.3836,41.8057,2023-02-10,7.2,黄海
浙江,一类,120.1536,30.2875,2023-04-15,7.7,东海
浙江,五类,120.1536,30.2875,2023-03-15,7.7,东海
